MarkerName;toKeep;CR;FLD;HetSO;HomRO;nClus;MAF;Message;Categorie;locat.file
Marker_1;TRUE;1;12.05;1.56;1.99;4;0.5;1.32205092685905e-10;Other;./output_genotyping/1/all_geno/1_1_genotyped.Rdata
Marker_2;TRUE;0.99;13.05;1.46;1.99;4;0.48;3.61881236982096e-05;Other;./output_genotyping/1/all_geno/1_1_genotyped.Rdata
Marker_3;TRUE;1;12.18;1.29;1.98;4;0.47;1.69399796600498e-07;Other;./output_genotyping/1/all_geno/1_1_genotyped.Rdata
Marker_4;TRUE;1;11.08;1.36;1.96;4;0.49;1.59905409410506e-09;Other;./output_genotyping/1/all_geno/1_1_genotyped.Rdata
Marker_5;TRUE;1;10.98;1.7;1.98;4;0.48;1.54908278273307e-15;Other;./output_genotyping/1/all_geno/1_1_genotyped.Rdata
Marker_6;TRUE;1;11.74;1.11;2;4;0.5;6.27459156422473e-10;Other;./output_genotyping/1/all_geno/1_1_genotyped.Rdata
Marker_7;TRUE;1;12.98;1.43;1.98;4;0.49;3.70910073903756e-09;Other;./output_genotyping/1/all_geno/1_1_genotyped.Rdata
Marker_8;TRUE;1;12.59;2.49;2;4;0.49;0.0053756032663296;Other;./output_genotyping/1/all_geno/1_1_genotyped.Rdata
Marker_9;TRUE;1;12.65;2.12;2;4;0.44;5.95965885097107e-06;Other;./output_genotyping/1/all_geno/1_1_genotyped.Rdata
Marker_10;TRUE;1;12.59;1.73;1.99;4;0.46;3.38648763177701e-08;Other;./output_genotyping/1/all_geno/1_1_genotyped.Rdata
