SampleName;CR
Indiv1;1
Indiv2;1
Indiv3;1
Indiv4;1
Indiv5;1
Indiv6;1
Indiv7;1
Indiv8;1
Indiv9;1
Indiv10;1
Indiv11;1
Indiv12;1
Indiv13;1
Indiv14;1
Indiv15;1
Indiv16;1
Indiv17;1
Indiv18;1
Indiv19;1
Indiv20;1
Indiv21;1
Indiv22;1
Indiv23;1
Indiv24;1
Indiv25;1
Indiv26;1
Indiv27;1
Indiv28;1
Indiv29;1
Indiv30;1
Indiv31;1
Indiv32;1
Indiv33;1
Indiv34;1
Indiv35;1
Indiv36;1
Indiv37;1
Indiv38;1
Indiv39;1
Indiv40;1
Indiv41;1
Indiv42;1
Indiv43;1
Indiv44;1
Indiv45;1
Indiv46;1
Indiv47;1
Indiv48;1
Indiv49;1
Indiv50;1
Indiv51;1
Indiv52;1
Indiv53;1
Indiv54;1
Indiv55;1
Indiv56;1
Indiv57;1
Indiv58;1
Indiv59;1
Indiv60;1
Indiv61;1
Indiv62;1
Indiv63;1
Indiv64;1
Indiv65;1
Indiv66;1
Indiv67;1
Indiv68;1
Indiv69;1
Indiv70;1
Indiv71;1
Indiv72;1
Indiv73;1
Indiv74;1
Indiv75;1
Indiv76;1
Indiv77;1
Indiv78;1
Indiv79;1
Indiv80;1
Indiv81;1
Indiv82;1
Indiv83;1
Indiv84;1
Indiv85;1
Indiv86;1
Indiv87;1
Indiv88;1
Indiv89;1
Indiv90;1
Indiv91;1
Indiv92;1
Indiv93;1
Indiv94;1
Indiv95;1
Indiv96;1
Indiv97;1
Indiv98;1
Indiv99;1
Indiv100;1
